instancia,grupo,metodo,costo_inicial,costo_final,mejora_pct,tiempo_s
a05100,a,solo_relocate,1694.0000,1694.0000,0.0000,0.0000
a05100,a,solo_swap,1694.0000,1694.0000,0.0000,0.0000
a05100,a,vnd_relocate_swap,1694.0000,1694.0000,0.0000,0.0000
a05100,a,vnd_completo,1694.0000,1694.0000,0.0000,0.0018
a05200,a,solo_relocate,3235.0000,3235.0000,0.0000,0.0000
a05200,a,solo_swap,3235.0000,3235.0000,0.0000,0.0000
a05200,a,vnd_relocate_swap,3235.0000,3235.0000,0.0000,0.0000
a05200,a,vnd_completo,3235.0000,3235.0000,0.0000,0.0124
a10100,a,solo_relocate,1358.0000,1358.0000,0.0000,0.0000
a10100,a,solo_swap,1358.0000,1358.0000,0.0000,0.0000
a10100,a,vnd_relocate_swap,1358.0000,1358.0000,0.0000,0.0000
a10100,a,vnd_completo,1358.0000,1358.0000,0.0000,0.0011
a10200,a,solo_relocate,2623.0000,2623.0000,0.0000,0.0000
a10200,a,solo_swap,2623.0000,2623.0000,0.0000,0.0000
a10200,a,vnd_relocate_swap,2623.0000,2623.0000,0.0000,0.0000
a10200,a,vnd_completo,2623.0000,2623.0000,0.0000,0.0096
a20100,a,solo_relocate,1158.0000,1158.0000,0.0000,0.0000
a20100,a,solo_swap,1158.0000,1158.0000,0.0000,0.0000
a20100,a,vnd_relocate_swap,1158.0000,1158.0000,0.0000,0.0000
a20100,a,vnd_completo,1158.0000,1157.0000,0.0864,0.0010
a20200,a,solo_relocate,2340.0000,2340.0000,0.0000,0.0000
a20200,a,solo_swap,2340.0000,2340.0000,0.0000,0.0000
a20200,a,vnd_relocate_swap,2340.0000,2340.0000,0.0000,0.0000
a20200,a,vnd_completo,2340.0000,2340.0000,0.0000,0.0021
b05100,b,solo_relocate,5473.0000,5473.0000,0.0000,0.0000
b05100,b,solo_swap,5473.0000,5473.0000,0.0000,0.0000
b05100,b,vnd_relocate_swap,5473.0000,5473.0000,0.0000,0.0000
b05100,b,vnd_completo,5473.0000,5461.0000,0.2193,0.0010
b05200,b,solo_relocate,8703.0000,8703.0000,0.0000,0.0000
b05200,b,solo_swap,8703.0000,8542.0000,1.8499,0.0003
b05200,b,vnd_relocate_swap,8703.0000,8529.0000,1.9993,0.0004
b05200,b,vnd_completo,8703.0000,8396.0000,3.5275,0.0184
b10100,b,solo_relocate,3461.0000,3461.0000,0.0000,0.0000
b10100,b,solo_swap,3461.0000,3381.0000,2.3115,0.0001
b10100,b,vnd_relocate_swap,3461.0000,3381.0000,2.3115,0.0001
b10100,b,vnd_completo,3461.0000,3324.0000,3.9584,0.0032
b10200,b,solo_relocate,7551.0000,7551.0000,0.0000,0.0000
b10200,b,solo_swap,7551.0000,7336.0000,2.8473,0.0005
b10200,b,vnd_relocate_swap,7551.0000,7304.0000,3.2711,0.0006
b10200,b,vnd_completo,7551.0000,7179.0000,4.9265,0.0122
b20100,b,solo_relocate,3157.0000,3157.0000,0.0000,0.0000
b20100,b,solo_swap,3157.0000,3040.0000,3.7061,0.0001
b20100,b,vnd_relocate_swap,3157.0000,3034.0000,3.8961,0.0001
b20100,b,vnd_completo,3157.0000,2605.0000,17.4850,0.0019
b20200,b,solo_relocate,4945.0000,4945.0000,0.0000,0.0000
b20200,b,solo_swap,4945.0000,4802.0000,2.8918,0.0006
b20200,b,vnd_relocate_swap,4945.0000,4793.0000,3.0738,0.0007
b20200,b,vnd_completo,4945.0000,4491.0000,9.1810,0.0109
e05100,e,solo_relocate,23799.0000,23799.0000,0.0000,0.0000
e05100,e,solo_swap,23799.0000,22689.0000,4.6641,0.0000
e05100,e,vnd_relocate_swap,23799.0000,22689.0000,4.6641,0.0001
e05100,e,vnd_completo,23799.0000,22689.0000,4.6641,0.0018
e05200,e,solo_relocate,57228.0000,57228.0000,0.0000,0.0000
e05200,e,solo_swap,57228.0000,54522.0000,4.7285,0.0006
e05200,e,vnd_relocate_swap,57228.0000,53333.0000,6.8061,0.0008
e05200,e,vnd_completo,57228.0000,53104.0000,7.2063,0.0238
e10100,e,solo_relocate,24261.0000,24261.0000,0.0000,0.0000
e10100,e,solo_swap,24261.0000,24042.0000,0.9027,0.0000
e10100,e,vnd_relocate_swap,24261.0000,24010.0000,1.0346,0.0001
e10100,e,vnd_completo,24261.0000,21079.0000,13.1157,0.0029
e10200,e,solo_relocate,61811.0000,61811.0000,0.0000,0.0000
e10200,e,solo_swap,61811.0000,61353.0000,0.7410,0.0001
e10200,e,vnd_relocate_swap,61811.0000,61353.0000,0.7410,0.0002
e10200,e,vnd_completo,61811.0000,61127.0000,1.1066,0.0130
e10400,e,solo_relocate,249218.0000,249218.0000,0.0000,0.0001
e10400,e,solo_swap,249218.0000,248674.0000,0.2183,0.0012
e10400,e,vnd_relocate_swap,249218.0000,248674.0000,0.2183,0.0012
e10400,e,vnd_completo,249218.0000,248579.0000,0.2564,0.0651
e20100,e,solo_relocate,2420.0000,2420.0000,0.0000,0.0000
e20100,e,solo_swap,2420.0000,2420.0000,0.0000,0.0000
e20100,e,vnd_relocate_swap,2420.0000,2420.0000,0.0000,0.0000
e20100,e,vnd_completo,2420.0000,2420.0000,0.0000,0.0006
e20200,e,solo_relocate,54165.0000,54165.0000,0.0000,0.0000
e20200,e,solo_swap,54165.0000,53630.0000,0.9877,0.0003
e20200,e,vnd_relocate_swap,54165.0000,53469.0000,1.2850,0.0005
e20200,e,vnd_completo,54165.0000,50835.0000,6.1479,0.0097
e20400,e,solo_relocate,232167.0000,232167.0000,0.0000,0.0000
e20400,e,solo_swap,232167.0000,231326.0000,0.3622,0.0011
e20400,e,vnd_relocate_swap,232167.0000,231326.0000,0.3622,0.0013
e20400,e,vnd_completo,232167.0000,231056.0000,0.4785,0.0576
e40400,e,solo_relocate,180792.0000,180792.0000,0.0000,0.0000
e40400,e,solo_swap,180792.0000,179421.0000,0.7583,0.0010
e40400,e,vnd_relocate_swap,180792.0000,179109.0000,0.9309,0.0021
e40400,e,vnd_completo,180792.0000,173226.0000,4.1849,0.0251
e15900,e,solo_relocate,620956.0000,620956.0000,0.0000,0.0000
e15900,e,solo_swap,620956.0000,617917.0000,0.4894,0.0132
e15900,e,vnd_relocate_swap,620956.0000,617917.0000,0.4894,0.0135
e15900,e,vnd_completo,620956.0000,617389.0000,0.5744,0.7450
e30900,e,solo_relocate,537376.0000,537376.0000,0.0000,0.0000
e30900,e,solo_swap,537376.0000,536693.0000,0.1271,0.0053
e30900,e,vnd_relocate_swap,537376.0000,536693.0000,0.1271,0.0059
e30900,e,vnd_completo,537376.0000,536413.0000,0.1792,0.2050
e60900,e,solo_relocate,478813.0000,478813.0000,0.0000,0.0001
e60900,e,solo_swap,478813.0000,476714.0000,0.4384,0.0112
e60900,e,vnd_relocate_swap,478813.0000,476714.0000,0.4384,0.0119
e60900,e,vnd_completo,478813.0000,465466.0000,2.7875,0.1529
e201600,e,solo_relocate,1068989.0000,1068989.0000,0.0000,0.0000
e201600,e,solo_swap,1068989.0000,1066083.0000,0.2718,0.0383
e201600,e,vnd_relocate_swap,1068989.0000,1066083.0000,0.2718,0.0388
e201600,e,vnd_completo,1068989.0000,1065533.0000,0.3233,3.1206
e401600,e,solo_relocate,1012219.0000,1012219.0000,0.0000,0.0001
e401600,e,solo_swap,1012219.0000,1010584.0000,0.1615,0.0417
e401600,e,vnd_relocate_swap,1012219.0000,1010584.0000,0.1615,0.0427
e401600,e,vnd_completo,1012219.0000,1010194.0000,0.2001,0.9112
e801600,e,solo_relocate,931184.0000,931184.0000,0.0000,0.0001
e801600,e,solo_swap,931184.0000,928147.0000,0.3261,0.0537
e801600,e,vnd_relocate_swap,931184.0000,928147.0000,0.3261,0.0571
e801600,e,vnd_completo,931184.0000,927685.0000,0.3758,0.5913
real,r,solo_relocate,718.0000,718.0000,0.0000,0.0004
real,r,solo_swap,718.0000,704.4000,1.8942,0.0326
real,r,vnd_relocate_swap,718.0000,700.5000,2.4373,0.0385
real,r,vnd_completo,718.0000,695.5000,3.1337,0.1086
